,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Mon Aug 03 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PDSB,Healthcare,Biotechnology,10.80%,0.54,67.87,4.30,4.56,"|2|","|3|","|4|",3.75,3.7,3.84,"|5|",3.85,3.84,3.82,3.8,3.79,3.78,3.77,3.76,3.75,3.74,3.73,3.72,3.71
,KIRK,Consumer Cyclical,Specialty Retail,34.60%,0.52,81.42,6.23,"|2|","|3|","|4|","|5|",6.25,6.15,5.25,,,,,,,,,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.66,56.64,5.71,6.2,"|2|",4.97,4.88,"|3|",4.97,"|4|",5.04,5.11,5.16,5.63,"|5|",5.17,5.16,5.13,5.12,5.11,5.1,5.09,5.08,5.07
,GNCA,Healthcare,Biotechnology,48.00%,0.59,50.88,3.18,2.95,"|2|",2.7,2.65,2.6,2.55,2.44,2.3,2.28,2.26,2.25,2.23,2.21,2.2,"|3|","|4|",2.83,2.88,"|5|",3.44,3.4
,FREE,Financial,Shell Companies,88.40%,0.51,41.05,7.46,6.94,"|2|","|3|","|4|",7.39,7.25,7.19,7.2,7.24,7.05,7.3,7.5,"|5|",7.51,7.5,7.49,7.45,7.3,7.29,7.25,7.21
,CEMI,Healthcare,Diagnostics & Research,45.40%,0.56,55.93,5.87,"|2|","|3|",4.93,"|4|",5.07,"|5|",5.62,5.6,5.59,5.58,5.56,5.55,5.54,5.48,5.43,5.08,5.07,5.06,5.05,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.10%,0.74,54.36,5.91,5.41,"|2|","|3|","|4|",5.9,5.8,5.78,"|5|",5.93,5.92,5.9,5.89,5.88,5.87,5.83,5.82,5.8,5.79,5.78,5.77,5.76
,OSMT,Healthcare,Biotechnology,46.10%,0.56,45.02,5.66,5.37,"|2|",6.5,"|3|",6.5,"|4|",5.63,5.62,"|5|",5.69,5.64,5.63,5.62,5.6,5.59,5.58,5.44,5.43,5.41,5.39,5.38
,LQDA,Healthcare,Biotechnology,35.60%,0.62,35.89,5.82,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VISL,Technology,Communication Equipment,7.10%,0.50,26.50,2.57,3.2394,3.03,"|2|",1.86,1.77,1.74,"|3|","|4|",3.12,2.6,"|5|",3.12,2.6,2.58,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOLY,Healthcare,Medical Devices,9.50%,0.64,35.45,6.69,"|2|","|3|","|4|",6.5,6.44,6.58,6.6,"|5|",6.9,6.89,6.87,6.86,6.6,6.59,6.58,6.5,6.49,6.48,6.47,6.44,
,DTIL,Healthcare,Biotechnology,56.10%,0.56,36.53,6.57,"|2|","|3|","|4|",6.88,"|5|",6.96,6.93,6.79,6.64,6.58,6.55,6.54,6.53,6.52,6.51,6.5,6.46,6.45,,,
,MNOV,Healthcare,Biotechnology,22.00%,0.95,51.20,6.34,"|2|",6,5.78,5.7,5.65,5.62,5.6,5.55,5.53,5.5,5.48,5.47,5.46,5.45,5.42,5.41,"|3|","|4|",6.53,"|5|",6.53
,PARR,Energy,Oil & Gas Refining & Marketing,91.80%,0.53,36.02,7.50,"|2|","|3|","|4|",8.1,"|5|",8.17,8.13,8.12,8.11,8.1,8.09,8.07,7.56,7.55,7.54,7.53,7.52,7.5,7.35,7.28,
,CAL,Consumer Cyclical,Footwear & Accessories,98.50%,0.56,35.94,6.13,"|2|","|3|","|4|","|5|",6.61,6.6,6.59,6.58,6.57,6.54,6.38,6.37,6.36,6.35,6.33,6.17,6.16,6.15,6.14,6.13,6.12
,CAPR,Healthcare,Biotechnology,3.50%,1.14,59.20,7.68,"|2|","|3|","|4|","|5|",8.01,,,,,,,,,,,,,,,,
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FPRX,Healthcare,Biotechnology,72.50%,0.57,53.19,6.07,6.25,"|2|","|3|",6.4,"|4|",6.01,"|5|",6.08,5.99,5.77,5.76,5.75,5.73,5.7,5.68,,,,,,
,PRPO,Healthcare,Diagnostics & Research,1.90%,0.91,57.32,3.17,"|2|","|3|","|4|","|5|",3.2,3.19,3.18,3.17,3.16,,,,,,,,,,,,
,FLDM,Healthcare,Diagnostics & Research,91.90%,0.77,67.33,7.01,"|2|","|3|","|4|","|5|",7.1,7.04,7.01,7,6.98,,,,,,,,,,,,
,BGFV,Consumer Cyclical,Specialty Retail,41.30%,0.64,68.74,5.49,"|2|","|3|","|4|","|5|",5.82,5.67,5.66,5.64,5.62,5.61,5.6,5.59,5.58,5.57,5.56,,,,,,
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALDX,Healthcare,Biotechnology,62.80%,0.60,59.25,6.55,"|2|","|3|","|4|",6.5,6.46,"|5|",6.55,6.53,6.52,6.51,6.5,6.49,6.48,6.47,6.46,6.42,6.4,6.39,6.38,6.37,6.35
,VCNX,Healthcare,Biotechnology,56.30%,0.81,57.76,6.40,"|2|",5.7,5.5,"|3|",5.5,"|4|",6.6,6.38,6.37,6.33,6.31,6.28,6.11,6.22,"|5|",6.6,6.4,6.38,6.37,6.33,6.31
,QLGN,Healthcare,Biotechnology,0.20%,0.77,54.45,5.48,5.255,4.9,"|2|",6,5,"|3|","|4|",5.5,5.48,"|5|",5.7,5.69,5.67,5.59,5.57,5.56,5.55,5.53,5.52,5.51,5.5
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOFV,Communication Services,Entertainment,17.80%,0.86,40.03,5.25,"|2|","|3|","|4|",5.35,5.34,5.33,5.38,5.2,5.23,5.39,5.36,"|5|",5.4,5.39,5.38,5.37,5.36,5.35,5.34,5.33,5.32
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days20_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal_S/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NBSE,Healthcare,Biotechnology,20.60%,0.60,46.99,7.72,7.99,8,"|2|",8.27,8.25,8.08,8,7.99,7.9,7.8,"|3|",6.95,"|4|",7.36,7.64,"|5|",7.7,7.69,7.68,7.67,7.66
,NNVC,Healthcare,Biotechnology,22.40%,0.69,44.97,6.41,5.62,6.76,"|2|",6.9,6.3,6.2,"|3|","|4|",6.49,"|5|",6.49,6.29,6.25,6.24,6.23,6.22,6.2,6.19,6.18,6.17,6.16
,TALO,Energy,Oil & Gas E&P,-,0.54,32.31,6.97,7.37,"|2|","|3|","|4|","|5|",7.15,7.14,7.12,7.11,7.1,7.07,7.01,7,6.99,6.95,6.91,6.9,6.8,6.7,6.69,6.68
,TGI,Industrials,Aerospace & Defense,94.60%,0.61,38.57,6.85,7.58,"|2|","|3|","|4|",6.73,6.75,"|5|",6.82,6.81,6.8,6.78,6.77,6.76,6.75,6.74,6.73,6.72,6.71,6.7,6.69,6.68
,CFRX,Healthcare,Biotechnology,35.20%,0.50,42.86,5.60,4.83,"|2|",6.5,6,5.8,5.65,"|3|","|4|",5.6,5.54,"|5|",5.8,5.76,5.71,5.7,5.68,5.66,5.65,5.64,5.63,5.62
,SURF,Healthcare,Biotechnology,91.90%,0.57,46.88,5.21,"|2|","|3|","|4|",5.63,5.12,5.39,5.24,"|5|",5.39,5.37,5.34,5.3,5.26,5.25,5.24,5.22,5.13,5.12,,,
,CADE,Financial,Banks - Regional,93.70%,0.54,44.84,7.79,7.19,7.75,7.35,"|2|","|3|","|4|",8.01,7.99,"|5|",8.01,8,7.99,7.98,7.95,7.93,7.92,7.91,7.9,7.89,7.88,7.87
