,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Mon Jul 06 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NH,Healthcare,Health Information Services,3.50%,0.58,72.10,5.60,"|2|","|3|","|4|",4.79,4.97,4.99,5.1,5.12,5.15,5.32,5.5,5.78,5.76,"|5|",5.1,,,,,,
,ERII,Industrials,Pollution & Treatment Controls,43.90%,0.53,42.06,7.39,"|2|",7.8,7.6,7.57,7.5,"|3|","|4|",7.12,6.98,7.03,6.97,6.95,7,7.05,7.01,7.02,7.04,6.89,6.9,7.07,7.18
,FUV,Consumer Cyclical,Recreational Vehicles,7.00%,0.59,88.73,7.20,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,TILE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",96.20%,0.65,47.49,7.98,7.07,"|2|",8.41,"|3|","|4|",7.9,7.81,7.75,7.77,7.48,7.51,7.71,7.68,7.65,7.66,7.63,7.6,8.02,7.86,7.92,7.98
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCUL,Healthcare,Biotechnology,46.00%,0.54,44.55,7.55,"|2|","|3|","|4|",8.14,8.06,8.11,8.07,8,7.98,8.23,8.28,8.22,8.01,7.48,7.46,"|5|",8.07,8,7.98,,
,FNKO,Consumer Cyclical,Leisure,82.30%,0.52,48.24,5.56,"|2|",5.9,"|3|","|4|",5.93,5.82,5.79,5.91,5.87,5.84,5.86,5.95,5.99,5.98,5.78,5.71,5.73,5.68,5.58,"|5|",5.98
,FREE,Financial,Shell Companies,76.81%,0.60,24.61,7.42,"|2|","|3|","|4|",8.01,8.2,8.3,8.41,8.4,8.26,7.95,7.96,8,7.94,8.05,7.91,7.85,7.64,7.66,7.51,7.53,7.71
,BMRA,Healthcare,Diagnostics & Research,9.50%,0.71,59.33,7.80,"|2|",7.2,7.15,"|3|","|4|",7.8,7.71,7.75,7.94,8.49,8.48,8.54,8.42,8.43,8.4,8.36,8.38,7.96,7.97,7.9,7.87
