,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Sat Jul 25 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QLGN,Healthcare,Biotechnology,0.20%,0.57,58.51,5.55,5.255,4.9,"|2|",6,5,"|3|","|4|","|5|",5.65,5.63,5.61,5.6,5.55,5.5,5.47,5.45,5.44,5.43,5.39,5.05,4.95
,ALDX,Healthcare,Biotechnology,62.80%,0.57,70.72,6.98,"|2|","|3|","|4|",6.52,"|5|",6.58,6.57,6.56,6.54,6.52,6.51,6.5,6.49,6.48,6.3,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLNK,Consumer Cyclical,Specialty Retail,6.10%,0.96,61.41,6.73,"|2|","|3|","|4|","|5|",7.33,7.26,7.12,7.09,6.9,6.84,6.82,,,,,,,,,,
,CAL,Consumer Cyclical,Footwear & Accessories,98.90%,0.64,46.82,7.32,7.15,"|2|","|3|","|4|","|5|",7.74,7.72,7.7,7.69,7.68,7.67,7.63,7.62,7.61,7.6,7.59,7.57,7.56,7.55,7.54,7.53
,NBSE,Healthcare,Biotechnology,20.10%,0.65,38.53,7.46,7.99,8,"|2|",8.27,8.25,8,7.99,7.9,7.8,6.9,"|3|",6.95,"|4|",7.96,7.99,7.87,7.9,7.55,"|5|",8.1,8.05
,DTIL,Healthcare,Biotechnology,48.60%,0.55,40.97,7.41,8.1,"|2|",8.3,8.25,8.05,8,7.88,7.85,"|3|",7.88,"|4|",8.33,8.19,"|5|",8.4,8.39,8.38,8.37,8.36,8.35,8.33
,SURF,Healthcare,Biotechnology,91.60%,0.59,47.96,5.35,"|2|","|3|","|4|",5.58,5.87,5.36,"|5|",5.69,5.65,5.64,5.63,5.62,5.61,5.58,5.57,5.53,5.52,5.4,5.39,5.38,5.37
,FPRX,Healthcare,Biotechnology,70.80%,0.64,42.76,5.55,6.25,"|2|",5.2,"|3|",6.4,"|4|",6.14,5.89,"|5|",6.16,6.12,6.09,5.9,5.75,5.72,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.69,45.95,4.91,3.93,"|2|",4.97,4.19,"|3|",4.97,"|4|",5.43,5.4,5.35,"|5|",5.43,5.42,5.41,5.4,5.39,5.37,5.35,5.25,5.24,5.23
,VCNX,Healthcare,Biotechnology,53.00%,0.81,66.74,7.04,7.5,"|2|","|3|","|4|",7.7,8,7.2,7.11,7.14,"|5|",7.9,7.8,7.75,7.7,7.69,7.68,7.65,7.64,7.2,7.18,7.14
,FLDM,Healthcare,Diagnostics & Research,90.90%,0.52,54.26,5.59,"|2|","|3|","|4|","|5|",6.3,6.29,6.24,6.16,6.13,6.12,6.11,6.08,6.07,5.72,,,,,,,
,LQDA,Healthcare,Biotechnology,35.10%,0.76,27.45,5.54,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,ABUS,Healthcare,Biotechnology,38.70%,0.81,71.88,4.96,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LLNW,Technology,Software - Infrastructure,83.20%,0.57,42.97,6.22,"|2|",5.55,5.37,5.3,5.25,5.24,"|3|","|4|",6.67,"|5|",6.73,6.71,6.7,6.67,6.29,6.28,6.27,6.25,6.24,6.23,6.22
,OSMT,Healthcare,Biotechnology,50.00%,0.64,40.44,5.42,5.37,"|2|",5.58,"|3|","|4|",5.62,5.48,"|5|",5.97,5.95,5.94,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.62,5.49,5.48
,NH,Healthcare,Health Information Services,19.60%,0.51,44.88,4.10,3.26,"|2|",4.8,"|3|","|4|",4.35,4.26,4.15,4.18,4.17,"|5|",4.41,4.4,4.38,4.37,4.36,4.35,4.34,4.33,4.31,4.27
,CYCN,Healthcare,Biotechnology,72.20%,0.54,31.57,3.46,4.46,"|2|",4.46,4.38,4.25,4.18,4.15,4.12,4.06,3.95,3.6,2.8,"|3|","|4|",3.89,3.84,3.71,3.68,3.5,"|5|",3.89
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EKSO,Healthcare,Medical Instruments & Supplies,22.20%,0.96,55.29,7.30,"|2|","|3|","|4|",7.31,7.51,7.47,7.44,7.37,"|5|",7.56,7.54,7.52,7.51,7.5,7.49,7.47,7.45,7.44,7.42,7.41,7.38
,FUV,Consumer Cyclical,Recreational Vehicles,1.10%,0.79,54.87,5.89,5.41,"|2|","|3|","|4|",6.12,6.15,6.08,6.05,5.83,5.9,"|5|",6.12,6.1,6.09,6.08,6.07,6.05,5.9,5.89,5.86,5.82
,CEMI,Healthcare,Diagnostics & Research,42.60%,0.74,47.63,5.07,"|2|",4.5,"|3|","|4|",5.01,5.07,5.05,"|5|",5.15,5.13,5.11,5.1,5.09,5.08,5.07,5.06,5.05,5.04,5.03,5.02,5.01
,CRVS,Healthcare,Biotechnology,75.10%,0.51,54.20,4.29,3.78,"|2|",4.72,4.05,3.6,3.48,3.45,"|3|",4.72,3.48,"|4|",4.29,"|5|",4.65,4.63,4.62,4.61,4.6,4.58,4.57,4.56
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOFV,Communication Services,Entertainment,20.30%,1.04,39.32,5.44,"|2|","|3|","|4|",5.75,5.73,5.74,5.7,5.5,5.45,5.44,"|5|",5.9,5.8,5.75,5.74,5.73,5.7,5.66,5.5,5.45,5.44
,SOLY,Healthcare,Medical Devices,9.50%,0.69,37.83,7.46,"|2|",8.15,8.1,"|3|","|4|",8.04,7.98,7.58,7.47,7.41,7.39,7.49,7.54,"|5|",7.8,7.75,7.7,7.68,7.58,7.54,7.49
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSPR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",38.30%,0.52,40.31,7.36,7.69,7.27,"|2|","|3|","|4|",7.55,7.51,7.5,7.44,7.49,"|5|",7.58,7.55,7.53,7.52,7.51,7.5,7.49,7.48,7.46,7.45
,GDYN,Technology,Information Technology Services,47.90%,0.55,36.25,6.39,6.38,"|2|",7.1,"|3|","|4|",6.81,6.89,6.92,7.01,6.84,6.8,6.77,6.76,6.72,6.65,6.69,"|5|",6.92,6.89,6.84,6.81
,MGTA,Healthcare,Biotechnology,62.20%,0.57,38.88,7.53,7.39,"|2|",8.3,"|3|",8.3,"|4|",8.03,"|5|",8.03,8.02,8,7.99,7.87,7.8,7.7,7.69,7.67,7.64,7.63,7.62,7.61
,TALO,Energy,Oil & Gas E&P,-,0.70,37.05,7.70,8.41,7.37,"|2|","|3|","|4|",8.02,"|5|",8.34,8.33,8.3,8.29,8.28,8.26,8.25,8.24,8.02,8,7.99,7.98,7.97,7.93
days20_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal_S/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PFSW,Industrials,Specialty Business Services,45.30%,0.51,56.16,6.80,"|2|",7.05,6.5,6,"|3|",6.2,7.05,"|4|",6.99,6.98,"|5|",6.99,6.98,6.93,6.92,6.91,6.86,6.85,6.84,6.83,6.82
,CFRX,Healthcare,Biotechnology,35.10%,0.56,45.02,6.00,"|2|",6.5,6,"|3|",6.75,"|4|",6.37,6.44,6.49,6.09,"|5|",6.5,6.49,6.48,6.47,6.44,6.43,6.42,6.41,6.4,6.39
,AGLE,Healthcare,Biotechnology,59.40%,0.60,31.81,7.24,6.99,"|2|",7.85,"|3|",7.85,"|4|",8.11,8.15,8.16,8.14,"|5|",8.16,8.15,8.14,8.13,8.12,8.11,7.08,,,
,OVID,Healthcare,Biotechnology,29.30%,0.60,42.77,6.62,7.53,"|2|","|3|","|4|","|5|",7.15,7.14,7.13,7.12,7.11,7.1,7.09,7.08,7.01,6.99,6.89,,,,,
,XAIR,Healthcare,Medical Devices,10.90%,0.52,44.28,6.34,5.62,"|2|",7.2,6.95,6,"|3|","|4|",6.35,6.34,6.55,6.64,6.5,6.48,6.45,6.74,"|5|",6.57,6.55,6.54,6.51,6.5
,GRWG,Consumer Cyclical,Home Improvement Retail,33.30%,0.57,52.62,7.26,"|2|",7.07,"|3|","|4|",7.74,7.82,7.32,"|5|",7.74,7.73,7.67,7.66,7.55,7.54,7.53,7.5,7.37,7.28,7.27,,
,NNVC,Healthcare,Biotechnology,22.50%,0.72,40.63,6.38,5.52,5.62,6.76,"|2|",6.98,6.9,6.3,"|3|","|4|",6.77,6.35,"|5|",6.8,6.78,6.77,6.75,6.7,6.69,6.68,6.67,6.66
,PFNX,Healthcare,Biotechnology,89.30%,0.53,41.92,7.51,7.44,"|2|","|3|","|4|",8.35,8.09,8.17,"|5|",8.1,8.09,8.08,8.07,8.06,8.05,8.04,8.03,8.02,8,7.99,7.87,7.59
,SVC,Real Estate,REIT - Hotel & Motel,78.10%,0.50,46.77,6.69,6.3,"|2|","|3|","|4|",7.04,7.05,6.91,6.99,7,6.69,6.71,6.72,"|5|",7.05,7.04,7.03,7.02,7.01,7,6.99,6.98
,DBI,Consumer Cyclical,Apparel Retail,-,0.55,49.14,6.40,5.91,5.78,5.53,"|2|",6.71,6.13,"|3|","|4|",6.53,"|5|",6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.58,6.57,6.56,6.54
,TGI,Industrials,Aerospace & Defense,94.40%,0.71,43.01,7.43,7.58,"|2|","|3|","|4|",7.8,7.88,"|5|",7.84,7.83,7.82,7.81,7.8,7.79,7.78,7.77,7.76,7.75,7.74,7.73,7.7,7.69
,RGS,Consumer Cyclical,Personal Services,-,0.58,43.11,7.81,"|2|","|3|","|4|",7.84,8.11,"|5|",8.21,8.19,8.18,8.17,8.16,8.15,8.14,8.11,8.1,8.08,8.05,8.02,8.01,8,7.96
,EVRI,Consumer Cyclical,Gambling,86.50%,0.55,48.98,5.66,"|2|","|3|","|4|","|5|",6.23,6.19,5.98,5.95,5.92,5.82,5.77,5.75,5.73,5.72,,,,,,,
