,Ticker,Sector,Industry,Inst Own,ATR,RSI
Sat Jun 27 2020,,,,,,
todayEarnings,,,,,,
todayPlus5,,,,,,
,MCEP,Energy,Oil & Gas E&P,0.40%,0.84,56.58
,TISI,Industrials,Specialty Business Services,-,0.59,46.16
,AWH,Healthcare,Diagnostics & Research,22.70%,0.52,75.98
todayMinus5,,,,,,
,TDW,Energy,Oil & Gas Equipment & Services,88.50%,0.55,43.29
,NH,Healthcare,Health Information Services,3.50%,0.56,62.69
,CNXM,Energy,Oil & Gas Midstream,34.00%,0.53,35.08
,CBIO,Healthcare,Biotechnology,53.30%,0.53,34.81
,RGS,Consumer Cyclical,Personal Services,-,1.02,33.30
,CURO,Financial,Credit Services,34.70%,0.66,40.48
,QLGN,Healthcare,Biotechnology,0.30%,0.77,39.86
,DTIL,Healthcare,Biotechnology,50.20%,0.70,48.29
,CFRX,Healthcare,Biotechnology,21.10%,0.59,60.14
,AMAG,Healthcare,Biotechnology,-,0.57,43.39
,PFSW,Industrials,Specialty Business Services,49.60%,0.61,51.68
,WTTR,Energy,Oil & Gas Equipment & Services,77.00%,0.51,40.19
,PFNX,Healthcare,Biotechnology,89.80%,0.74,49.12
,CMLS,Communication Services,Broadcasting,-,0.81,41.07
,CHMA,Healthcare,Biotechnology,79.90%,0.54,44.40
,GRWG,Consumer Cyclical,Home Improvement Retail,36.80%,0.61,48.66
,XERS,Healthcare,Biotechnology,64.90%,0.66,31.30
,GDYN,Technology,Information Technology Services,42.60%,0.70,26.44
,XAIR,Healthcare,Medical Devices,10.50%,0.68,47.67
,TZOO,Consumer Cyclical,Travel Services,37.90%,0.70,43.78
,RVP,Healthcare,Medical Instruments & Supplies,13.20%,0.64,55.69
,CEIX,Energy,Thermal Coal,-,0.72,38.17
,BSGM,Healthcare,Medical Devices,14.80%,1.02,30.65
,AGS,Consumer Cyclical,Gambling,89.90%,0.54,32.41
,OMP,Energy,Oil & Gas Midstream,18.90%,1.14,45.16
,BBGI,Communication Services,Broadcasting,39.20%,0.55,46.07
,SOLY,Healthcare,Medical Devices,11.70%,1.19,28.68
weekMinus10,,,,,,
,LIND,Consumer Cyclical,Travel Services,53.00%,0.81,41.87
,DSSI,Energy,Oil & Gas Midstream,71.50%,0.61,29.40
,JAX,Consumer Cyclical,Restaurants,61.40%,0.53,45.75
,CTRA,Energy,Thermal Coal,95.60%,0.52,37.29
,BXC,Industrials,Building Products & Equipment,85.90%,0.85,47.22
,AXLA,Healthcare,Biotechnology,41.20%,0.54,46.59
,HALL,Financial,Insurance - Property & Casualty,83.80%,0.50,40.03
,VRA,Consumer Cyclical,Footwear & Accessories,62.70%,0.56,34.52
,HT,Real Estate,REIT - Hotel & Motel,84.10%,0.71,42.22
,MGTA,Healthcare,Biotechnology,72.70%,0.86,36.35
weekPlus10,,,,,,
,FPRX,Healthcare,Biotechnology,69.70%,0.70,67.02
,CYCN,Healthcare,Biotechnology,72.30%,0.72,66.24
,BMRA,Healthcare,Diagnostics & Research,9.50%,0.70,58.44
monthPlus30,,,,,,
,DLTH,Consumer Cyclical,Apparel Retail,35.60%,0.66,57.97
,AVCT,Financial,Shell Companies,12.30%,0.60,64.44
,OVID,Healthcare,Biotechnology,29.20%,0.85,69.11
monthMinus30,,,,,,
,AVEO,Healthcare,Biotechnology,18.00%,0.68,36.56
days20_5AboveLow,,,,,,
,FRGI,Consumer Cyclical,Restaurants,94.80%,0.62,33.76
,REVG,Industrials,Farm & Heavy Construction Machinery,99.30%,0.54,44.21
,EXTN,Energy,Oil & Gas Equipment & Services,91.20%,0.56,37.97
,IVC,Healthcare,Medical Devices,-,0.52,36.88
,CLDT,Real Estate,REIT - Hotel & Motel,88.60%,0.62,35.66
days20_5BelowHigh,,,,,,
weeks52_5BelowHigh,,,,,,
weeks52_AboveLow,,,,,,
up5,,,,,,
,VEL,Financial,Mortgage Finance,64.40%,0.59,45.63
down5,,,,,,
