,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Tue Jun 30 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRWG,Consumer Cyclical,Home Improvement Retail,36.80%,0.61,53.80,6.86,,,6.87,6.86,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.76,6.75,6.74,6.73,6.72,6.71,6.7,6.69,6.56
,NH,Healthcare,Health Information Services,3.50%,0.56,64.38,4.59,,,,,,,,,,,,,,,,,,,,,
,MRAM,Technology,Semiconductors,55.30%,0.53,60.76,7.02,6.79,,7.47,7.83,,6.69,6.68,6.67,6.65,6.64,6.63,6.62,6.6,6.5,6.49,6.47,6.44,6.42,6.4,,
,AGS,Consumer Cyclical,Gambling,89.90%,0.51,35.52,3.35,,,,,,,,,,,,,,,,,,,,,
,AXLA,Healthcare,Biotechnology,41.20%,0.53,52.22,5.52,5.33,5.29,5.25,5.08,5,4.99,4.98,4.95,4.9,4.88,4.83,4.8,4.75,4.6,,4.87,5,5.9,,5.7,5.2
,GDYN,Technology,Information Technology Services,42.60%,0.67,35.81,6.84,,7.54,,6.7,6.69,6.65,6.64,6.63,6.62,6.61,6.59,6.55,6.5,6.49,6.48,6.47,6.46,6.45,6.44,6.43,6.42
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JNCE,Healthcare,Biotechnology,76.50%,0.51,59.57,6.87,,6.19,6.73,5.96,6.69,,7.58,7.56,7.55,7.51,7.5,7.49,7.48,7.47,7.46,7.45,7.44,7.42,7.41,7.4,7.39
,AGTC,Healthcare,Biotechnology,70.70%,0.51,50.33,5.53,4.85,4.82,4.8,,5.49,4.96,5.35,,6.46,6.43,6.39,6.38,6.37,6.26,6.25,6.21,6.14,6.13,5.55,5.52,5.5
,CMLS,Communication Services,Broadcasting,-,0.79,38.60,3.94,4.1,3.92,,,4.35,4.33,4.32,4.31,4.3,4.29,4.28,4.27,4.25,4.24,4.23,4.21,4.2,4.19,4.18,4.16,4.15
,FPRX,Healthcare,Biotechnology,69.70%,0.70,58.86,6.08,5.36,5.2,,5.66,6.14,,6.82,6.76,6.73,6.71,6.7,6.69,6.68,6.62,6.6,6.57,6.56,6.55,6.54,6.53,6.52
,QLGN,Healthcare,Biotechnology,0.30%,0.72,37.75,3.98,4.9,4.88,4.75,4.62,4.25,,4.11,4.5,4.25,4.86,,4.65,4.64,4.61,4.6,4.58,4.57,4.56,4.55,4.54,4.53
,AVCT,Financial,Shell Companies,12.30%,0.58,53.05,3.31,,,3.72,3.7,3.69,3.67,3.66,3.65,3.64,3.63,3.62,3.61,3.34,3.3,,,,,,,
,ZYNE,Healthcare,Drug Manufacturers - Specialty & Generic,38.30%,0.60,32.55,3.46,4.1,4.06,4.01,4,3.99,3.9,3.84,3.8,3.76,,4.38,3.75,2.55,4.18,,3.41,3.4,3.39,3.38,3.32,3.31
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
