,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Wed Jul 01 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QLGN,Healthcare,Biotechnology,0.30%,0.90,43.86,4.57,5.5,5.39,5.28,5.25,5.18,5.12,5.05,5.03,5,4.99,4.9,4.88,4.75,4.62,4.25,,4.11,4.5,4.25,4.86,
,GDYN,Technology,Information Technology Services,42.60%,0.70,50.25,7.80,8.5,8.3,8.25,8.1,8.03,,7.54,,,,,,,,,,,,,,
,CMLS,Communication Services,Broadcasting,-,0.78,44.49,4.45,4.1,3.92,,,4.46,,,,,,,,,,,,,,,,
,NH,Healthcare,Health Information Services,3.50%,0.57,68.80,5.10,,,,,,,,,,,,,,,,,,,,,
,AGTC,Healthcare,Biotechnology,70.70%,0.54,54.59,5.83,4.85,,5.49,4.96,5.35,,,,,,,,,,,,,,,,
,FPRX,Healthcare,Biotechnology,69.70%,0.69,61.26,6.41,,5.66,6.14,,,,,,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAL,Consumer Cyclical,Footwear & Accessories,99.10%,0.88,48.34,7.92,,,8.04,,,,,,,,,,,,,,,,,,
,AMSC,Industrials,Specialty Industrial Machinery,52.80%,0.50,54.07,7.70,,,,,,,,,,,,,,,,,,,,,
,IHRT,Communication Services,Broadcasting,-,0.91,41.69,7.89,7,6.9,,8.8,,,,,,,,,,,,,,,,,
,VRA,Consumer Cyclical,Footwear & Accessories,62.70%,0.56,38.45,4.19,4.51,4.44,4.24,,3.24,4.16,,4.41,4.4,4.36,4.27,,,,,,,,,,
,HALL,Financial,Insurance - Property & Casualty,83.80%,0.55,47.08,3.28,3.9,3.3,3.12,,,3.18,,,,,,,,,,,,,,,
,XAIR,Healthcare,Medical Devices,10.50%,0.64,45.77,6.81,7.3,7.25,7.1,7,6.5,6.2,6.1,6,,7.3,,7.25,7.22,,,,,,,,
,FCF,Financial,Banks - Regional,70.60%,0.51,43.57,7.68,8.53,7.96,,6.77,,,,,,,,,,,,,,,,,
,ERII,Industrials,Pollution & Treatment Controls,45.30%,0.54,35.71,7.01,7.49,7.26,,,6.97,,,,,,,,,,,,,,,,
,TILE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",96.30%,0.65,41.05,7.49,8.46,,7.89,,8.03,8.01,8,7.99,,,,,,,,,,,,,
,PROG,Healthcare,Biotechnology,-,1.53,-,7.98,,,,,,,,,,,,,,,,,,,,,
,CHMA,Healthcare,Biotechnology,79.90%,0.57,28.51,4.65,5.55,5.54,5.53,5.51,5.5,5.46,5.45,5.38,5.37,5.35,5.34,5.33,5.32,5.31,5.3,5.28,5.27,5.26,5.25,5.23,5.2
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XERS,Healthcare,Biotechnology,64.90%,0.58,35.18,2.73,1.95,1.79,,2.83,,2.73,2.72,2.71,2.68,2.67,2.66,2.65,2.64,2.63,2.62,,,,,,
,CFRX,Healthcare,Biotechnology,21.10%,0.62,51.43,6.52,6.9,6.8,6.65,6.5,6.4,6,,,,,,,,,,,,,,,
,MGTA,Healthcare,Biotechnology,72.70%,0.79,35.33,7.58,,,7.51,7.5,,,,,,,,,,,,,,,,,
,ALTG,Industrials,Rental & Leasing Services,53.20%,0.54,50.13,7.68,,,,,,,,,,,,,,,,,,,,,
,SOLY,Healthcare,Medical Devices,11.70%,1.09,30.90,7.67,,7,,7.95,7.9,7.8,,,,,,,,,,,,,,,
,CYCN,Healthcare,Biotechnology,72.30%,0.70,55.55,5.80,,,,,,,,,,,,,,,,,,,,,
,PFSW,Industrials,Specialty Business Services,49.60%,0.58,49.75,6.55,6.66,,,,,,,,,,,,,,,,,,,,
,LNDC,Consumer Defensive,Packaged Foods,95.40%,0.53,22.65,7.74,,,8.02,,,,,,,,,,,,,,,,,,
,AWH,Healthcare,Diagnostics & Research,22.70%,0.62,46.94,3.71,,,3.71,3.7,,,,,,,,,,,,,,,,,
,AVCT,Financial,Shell Companies,12.30%,0.59,50.62,3.18,,,3.3,3.17,,,,,,,,,,,,,,,,,
,AVEO,Healthcare,Biotechnology,18.00%,0.63,31.31,4.92,5.65,5.5,5.3,5.25,4.15,3.97,,,5.11,5.1,5.09,5.08,5.07,,,,,,,,
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,7.00%,0.50,81.69,5.45,,4.479,,5.45,,,,,,,,,,,,,,,,,
,TISI,Industrials,Specialty Business Services,-,0.58,50.17,5.50,6.17,,,5.46,5.44,5.43,5.42,5.41,,,,,,,,,,,,,
,ENOB,Healthcare,Biotechnology,5.00%,0.58,53.58,4.14,4.62,4.25,4.03,4,3.88,3.85,3.75,3.7,3.68,3.67,3.6,3.5,,,3.95,,,,,,
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DLTH,Consumer Cyclical,Apparel Retail,35.60%,0.65,58.89,7.39,6.86,,,7.3,,,,,,,,,,,,,,,,,
,OVID,Healthcare,Biotechnology,29.20%,0.79,63.71,7.31,,7.21,,,,,,,,,,,,,,,,,,,
,CRMD,Healthcare,Biotechnology,25.60%,0.51,56.26,6.08,6.81,6.45,6.35,6.3,6.15,6.13,6.1,6.05,6,5.87,5.5,,,6.1,6.09,6.08,6.07,6.05,6.04,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,67.20%,0.76,66.88,7.09,7.96,,8.09,7.67,,,,,,,,,,,,,,,,,
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSGM,Healthcare,Medical Devices,14.80%,0.96,35.78,7.16,6.63,6.5,6.33,,6.5,6.22,,7.3,,,,,,,,,,,,,
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBIO,Healthcare,Biotechnology,53.30%,0.52,34.88,5.88,6.56,6.52,6.51,6.5,6.48,6.39,6.18,5.65,5.61,5.42,5.06,5.04,,5.12,6.33,5.41,5.44,,6.1,5.9,5.88
,CEIX,Energy,Thermal Coal,-,0.65,36.62,5.01,5,,4.94,,5.1,5.05,5.04,5.02,,,,,,,,,,,,,
,REVG,Industrials,Farm & Heavy Construction Machinery,99.30%,0.50,47.54,6.02,,5.69,5.85,,6.15,6.13,6.12,6.11,6.1,6.09,6.08,6.03,,,,,,,,,
,TZOO,Consumer Cyclical,Travel Services,37.90%,0.67,40.28,5.46,4.75,,6.33,,5.91,5.9,5.61,,,,,,,,,,,,,,
days20_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KLDO,Healthcare,Biotechnology,69.70%,0.58,55.40,7.60,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RVP,Healthcare,Medical Instruments & Supplies,13.20%,0.62,54.98,6.79,,,6.9,6.89,6.88,6.85,6.83,,,,,,,,,,,,,,
,IDN,Technology,Software - Application,40.60%,0.53,52.52,7.21,7.6,7.57,7.5,7.15,,8.19,,,,,,,,,,,,,,,
