,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Sun Aug 02 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLDM,Healthcare,Diagnostics & Research,92.00%,0.77,67.03,7.04,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,CAPR,Healthcare,Biotechnology,3.50%,1.15,61.35,7.96,"|2|","|3|","|4|","|5|",8.01,,,,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CYCN,Healthcare,Biotechnology,72.30%,0.54,39.75,3.82,4.46,4.76,3.37,"|2|",4.65,4.46,4.38,4.26,4.25,4.15,4.12,4.06,3.95,3.83,3.6,"|3|","|4|",3.55,3.63,"|5|",3.92
,ALDX,Healthcare,Biotechnology,62.80%,0.61,58.11,6.43,"|2|","|3|","|4|","|5|",6.49,6.42,6.4,6.39,6.38,6.37,6.36,6.35,6.34,6.33,6.32,6.31,6.3,6.28,6.25,,
,NBSE,Healthcare,Biotechnology,20.30%,0.63,43.50,7.43,7.99,8,"|2|",8.27,8.25,8,7.99,7.9,7.8,"|3|",6.95,"|4|",7.36,"|5|",7.68,7.41,7.4,7.39,7.38,7.37,7.36
,DBD,Technology,Software - Application,91.80%,0.55,58.10,6.97,7.55,"|2|",6.08,"|3|","|4|",6.48,"|5|",7.52,6.93,6.89,6.88,6.86,6.84,6.65,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.10%,0.75,50.73,5.58,5.41,"|2|","|3|","|4|",5.65,5.63,5.9,5.8,5.78,"|5|",5.9,5.89,5.87,5.82,5.8,5.79,5.78,5.77,5.76,5.75,5.74
,PARR,Energy,Oil & Gas Refining & Marketing,93.20%,0.51,34.84,7.41,"|2|","|3|","|4|",8.1,"|5|",8.17,8.13,8.12,8.11,8.1,8.09,8.07,7.55,7.54,7.53,,,,,,
,DTIL,Healthcare,Biotechnology,56.10%,0.57,32.48,6.36,"|2|","|3|","|4|",6.88,"|5|",7.28,7.27,7.26,7.25,7.24,7.21,7.2,6.96,6.93,6.79,6.53,,,,,
,EKSO,Healthcare,Medical Instruments & Supplies,22.20%,0.99,45.91,6.52,"|2|","|3|","|4|",7.36,7.47,7.4,"|5|",7.48,7.47,7.45,7.44,7.41,7.4,7.39,7.38,7.37,7.36,7.35,7.33,7.31,
,RUTH,Consumer Cyclical,Restaurants,63.60%,0.55,41.95,6.70,6.16,"|2|","|3|","|4|",6.91,"|5|",7.68,7.67,7.58,6.73,,,,,,,,,,,
,GNCA,Healthcare,Biotechnology,52.00%,0.59,47.55,2.85,2.95,"|2|",2.7,2.65,2.6,2.55,2.44,2.3,2.28,2.26,2.25,2.23,2.21,2.2,2.18,2.15,2.11,2.1,2.08,2.05,2.03
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCNX,Healthcare,Biotechnology,56.30%,0.82,57.18,6.33,"|2|",5.7,5.5,"|3|",5.5,"|4|",5.89,5.9,6.05,6.6,6.38,6.37,6.33,6.31,6.28,"|5|",6.6,6.4,6.38,6.37,6.33
,TALO,Energy,Oil & Gas E&P,-,0.55,31.67,6.81,7.37,"|2|","|3|","|4|",7.02,7.03,7.06,"|5|",7.08,7.07,7.06,7.05,7.04,7.03,7.02,7.01,7,6.99,6.95,6.91,6.9
,SOLY,Healthcare,Medical Devices,9.50%,0.63,30.82,6.44,"|2|","|3|","|4|",7,6.5,"|5|",7,6.92,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.8,6.5,6.48,,
,CAL,Consumer Cyclical,Footwear & Accessories,98.60%,0.58,38.81,6.31,7.15,"|2|","|3|","|4|",6.98,7.08,"|5|",7.06,7.01,7,6.99,6.98,6.97,6.96,6.61,6.6,6.59,6.58,6.57,6.54,6.38
