,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Sun Jul 12 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DLTH,Consumer Cyclical,Apparel Retail,35.70%,0.71,53.98,7.09,"|2|",7.5,"|3|","|4|","|5|",6.71,6.7,6.68,6.67,6.65,6.63,6.6,6.59,6.57,6.56,6.18,,,,,
,CMLS,Communication Services,Broadcasting,92.10%,0.66,44.82,4.00,"|2|",4,3.96,"|3|",3.96,"|4|",3.83,3.86,3.81,3.73,3.69,3.68,4.03,"|5|",4.04,4.03,3.86,3.85,3.84,3.83,3.82
,HT,Real Estate,REIT - Hotel & Motel,84.60%,0.66,47.37,5.52,5.35,"|2|",5,"|3|","|4|","|5|",5.3,5.28,5.24,5.21,5.2,5.13,5.12,5.11,5.1,5.09,5.08,5.07,5.06,5.05,5.04
,HALL,Financial,Insurance - Property & Casualty,82.80%,0.52,48.81,3.24,2.74,"|2|",3.6,2.74,"|3|","|4|",2.93,2.9,2.94,2.97,2.98,3.01,"|5|",3.07,3.05,3.04,3.03,3.01,3,2.99,2.98
,PFSW,Industrials,Specialty Business Services,50.30%,0.59,44.57,6.20,"|2|",7.05,6,"|3|",6.2,7.05,"|4|",6.12,6.13,6.14,6.15,6.25,"|5|",6.25,6.24,6.23,6.22,6.17,6.16,6.15,6.14
,CFRX,Healthcare,Biotechnology,35.00%,0.62,56.59,6.97,"|2|",7.2,6.5,6,"|3|",6.75,"|4|",6.44,6.43,6.76,6.87,"|5|",6.61,6.54,6.52,6.49,6.45,6.44,6.43,6.42,6.41
,FNKO,Consumer Cyclical,Leisure,82.40%,0.51,45.54,5.28,"|2|",5.9,"|3|","|4|",5.05,4.77,4.94,"|5|",5.25,5.24,5.22,5.17,5.16,5.15,5.12,5.1,5.09,5.08,5.07,5.06,5.05
,CAL,Consumer Cyclical,Footwear & Accessories,98.80%,0.85,44.30,7.19,7.15,"|2|","|3|","|4|",6.72,"|5|",7.3,7.29,7.26,7.25,7.24,7.23,7.22,7.21,7.2,7.18,7.17,7.16,7.15,7.13,6.87
,LIND,Consumer Cyclical,Travel Services,53.00%,0.74,46.88,7.44,"|2|","|3|",8.05,"|4|",7.11,7.36,"|5|",7.31,7.3,7.26,7.24,7.2,7.19,7.18,7.17,7.16,7.14,7.13,7.12,7.11,7.1
,EOLS,Healthcare,Drug Manufacturers - Specialty & Generic,43.50%,0.58,30.41,3.20,3.12,"|2|",4.14,4.13,4.1,3.99,3.74,"|3|","|4|",3.63,3.46,3.48,3.02,3.04,3.03,3.18,3.2,3.21,"|5|",3.48,3.47
