,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Thu Aug 13 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZVO,Consumer Defensive,Education & Training Services,66.60%,0.65,56.00,5.10,4.56,"|2|","|3|","|4|",5.98,5.87,"|5|",5.98,5.95,5.85,,,,,,,,,,,
,LIND,Consumer Cyclical,Travel Services,53.60%,0.56,47.90,7.71,"|2|",7.82,7.29,"|3|",8.05,7.82,"|4|","|5|",8.59,8.55,8.54,8.26,8.13,7.71,7.59,,,,,,
,ETON,Healthcare,Biotechnology,24.40%,0.63,52.25,6.38,"|2|",6.4,5.85,5.8,5.75,5.7,5.64,"|3|",6.5,5.8,6.4,"|4|",6.34,"|5|",7.1,7.09,6.34,6.33,,,
,FENC,Healthcare,Biotechnology,43.60%,0.84,32.58,6.17,"|2|",7,"|3|",7,"|4|",6.17,"|5|",6.63,6.61,6.57,6.21,6.17,,,,,,,,,
,CRDF,Healthcare,Biotechnology,21.40%,0.58,57.73,5.51,5.75,"|2|",4.74,"|3|","|4|",5.92,5.63,"|5|",6.5,5.99,5.98,5.96,5.95,5.94,,,,,,,
,NNVC,Healthcare,Biotechnology,22.30%,0.52,36.86,5.57,4.61,5.62,"|2|",6.3,"|3|","|4|",6.3,6.15,6.14,5.57,"|5|",6.32,6.3,6.29,6.28,6.27,6.15,6.14,6.06,5.62,5.61
,MGNI,Communication Services,Advertising Agencies,48.40%,0.53,56.97,7.14,"|2|","|3|","|4|",6.96,7.17,"|5|",7.76,7.2,7.17,,,,,,,,,,,,
,CAPR,Healthcare,Biotechnology,3.50%,1.18,45.27,5.94,"|2|","|3|","|4|",6.06,5.98,"|5|",6.11,6.1,6.09,6.08,6.06,5.98,5.95,5.93,5.89,,,,,,
,TGI,Industrials,Aerospace & Defense,92.00%,0.69,45.54,7.43,7.58,"|2|","|3|","|4|","|5|",7.96,7.53,7.46,,,,,,,,,,,,,
,IDN,Technology,Software - Application,44.10%,0.53,42.20,7.04,"|2|",8,7.6,7.5,7.2,"|3|",7.85,7.6,"|4|","|5|",,,,,,,,,,,
,HOFV,Communication Services,Entertainment,17.40%,0.75,32.62,4.10,"|2|","|3|","|4|",5.08,4.51,4.37,4.45,4.43,4.36,"|5|",5.08,4.51,,,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MRAM,Technology,Semiconductors,55.00%,0.65,30.96,5.30,6.25,"|2|","|3|","|4|",5.35,5.11,"|5|",5.35,5.34,5.33,5.32,5.31,5.3,5.28,5.24,,,,,,
,GTT,Communication Services,Telecom Services,88.20%,0.54,25.15,5.02,"|2|","|3|","|4|",5,4.98,4.97,4.95,5.2,5.25,"|5|",5.25,5.21,5,4.98,4.97,4.95,,,,,
,FPRX,Healthcare,Biotechnology,72.50%,0.50,38.35,4.79,3.88,"|2|","|3|","|4|",5.28,5.09,4.98,4.93,4.88,"|5|",5.22,5.09,5.04,4.93,4.91,4.89,4.88,4.86,4.85,4.84,4.82
,BSGM,Healthcare,Medical Devices,13.50%,0.66,35.62,7.10,6.22,6.77,"|2|","|3|","|4|",7.43,"|5|",7.54,7.53,7.52,7.51,7.49,7.47,7.46,7.45,7.43,7.41,7.39,7.12,7.09,7.05
,VCNX,Healthcare,Biotechnology,56.30%,0.79,46.13,5.52,5.66,"|2|","|3|",5.5,5.25,4.94,"|4|",6,5.95,5.92,5.82,5.79,5.7,5.71,5.61,5.46,5.44,"|5|",5.95,5.92,5.82
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAL,Consumer Cyclical,Footwear & Accessories,99.20%,0.55,56.18,7.70,7.15,"|2|","|3|","|4|",7.69,"|5|",7.69,7.67,7.66,7.65,7.63,7.62,7.61,7.6,7.59,7.58,7.57,7.56,7.55,7.54,7.53
,KIRK,Consumer Cyclical,Specialty Retail,35.00%,0.58,79.74,7.11,"|2|","|3|","|4|",6.99,7,"|5|",7.25,7.19,7.18,7.16,7.15,7.14,7.13,7.1,7.06,7.04,7.03,7,6.95,6.94,6.9
,ARLO,Industrials,Security & Protection Services,75.70%,0.56,72.25,5.87,"|2|","|3|","|4|",6.13,5.8,"|5|",6.2,6.19,6.18,6.16,6.14,6.13,6.12,6.11,6.1,6.09,6.07,5.88,5.87,5.86,5.85
,HT,Real Estate,REIT - Hotel & Motel,84.10%,0.50,67.96,7.15,"|2|","|3|","|4|","|5|",7.26,7.22,7.19,7.18,6.99,6.98,,,,,,,,,,,
,BGFV,Consumer Cyclical,Specialty Retail,41.30%,0.76,64.94,6.55,6.93,"|2|","|3|","|4|","|5|",7.45,7.44,7.4,6.91,6.9,6.87,6.86,6.85,,,,,,,,
,AVCT,Financial,Shell Companies,20.80%,1.00,65.32,6.83,"|2|","|3|","|4|",6.82,6.92,"|5|",7.07,7.05,7.03,7,6.93,6.92,6.85,,,,,,,,
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QLGN,Healthcare,Biotechnology,0.20%,0.60,52.84,5.52,4.9,"|2|","|3|","|4|",5.6,"|5|",5.65,5.63,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.52,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.55,61.55,6.62,6.2,"|2|","|3|","|4|",6.83,6.8,6.88,6.99,6.62,6.6,"|5|",6.99,6.9,6.88,6.86,6.83,6.81,6.8,6.62,6.6,6.59
,FLDM,Healthcare,Diagnostics & Research,85.80%,0.76,65.33,7.52,"|2|","|3|","|4|","|5|",7.63,7.6,7.58,7.57,7.56,7.55,7.54,7.52,7.51,7.5,7.49,7.48,7.45,7.44,7.4,7.21,7.2
,EVRI,Consumer Cyclical,Gambling,91.40%,0.55,65.94,7.31,"|2|","|3|","|4|","|5|",7.67,7.66,7.65,7.64,7.28,7.27,7.26,7.25,7.24,7.23,7.22,7.21,7.2,7.19,7.15,7.14,7.12
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARAV,Healthcare,Biotechnology,44.70%,0.67,23.29,5.83,"|2|",6,"|3|","|4|","|5|",6.06,6.05,6.04,6.03,5.98,5.96,5.95,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.85
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLUU,Communication Services,Electronic Gaming & Multimedia,68.30%,0.52,32.70,7.58,"|2|","|3|","|4|",7.54,7.51,7.63,"|5|",7.68,7.65,7.63,7.62,7.6,7.59,7.58,7.57,7.56,7.55,7.54,7.53,7.52,7.51
days20_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal_S/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.00%,0.77,62.09,7.10,"|2|","|3|","|4|",6.75,6.62,7.12,6.87,6.93,7,"|5|",7.12,7.1,7.06,7.05,7.03,7,6.99,6.98,6.97,6.89,6.65
,SURF,Healthcare,Biotechnology,86.10%,0.57,59.22,5.95,6.88,"|2|","|3|","|4|",5.97,"|5|",6.07,6.05,6.04,6.01,6,5.99,5.97,5.96,5.95,5.93,5.92,5.9,5.83,5.78,
,DBI,Consumer Cyclical,Apparel Retail,-,0.51,55.74,7.06,"|2|",6.71,6.37,6.33,6.13,"|3|","|4|",7.33,6.99,"|5|",7.45,7.42,7.38,7.37,7.36,7.35,7.34,7.33,7.32,7.31,7.3
