,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Thu Jul 23 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DTIL,Healthcare,Biotechnology,48.60%,0.54,45.33,7.85,8.1,"|2|",8.6,8.3,8.25,8.05,8,7.88,7.85,"|3|",7.88,"|4|",8.63,"|5|",8.63,8.6,8.59,8.42,8.39,8.38,8.37
,CFRX,Healthcare,Biotechnology,35.10%,0.58,47.17,6.16,"|2|",6.5,6,"|3|",6.75,"|4|",6.54,6.53,6.37,6.44,6.49,6.5,"|5|",6.54,6.53,6.52,6.51,6.5,6.49,6.48,6.47
,EVRI,Consumer Cyclical,Gambling,86.50%,0.59,53.01,5.95,"|2|","|3|","|4|",5.87,"|5|",6.24,6.19,5.98,5.96,5.95,5.94,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.85,,
,QLGN,Healthcare,Biotechnology,0.20%,0.54,49.38,4.99,4.4175,5.255,4.9,"|2|",5,4.16,"|3|","|4|",4.98,"|5|",5.8,5.75,5.73,5.6,5.47,5.45,5.44,5.39,5.05,4.93,
,AGLE,Healthcare,Biotechnology,59.40%,0.60,33.91,7.49,6.99,"|2|",8.45,7.85,"|3|",8.45,7.85,"|4|",8.04,8.05,8.14,8.2,8.11,8.15,8.16,"|5|",8.2,8.16,8.15,8.14,8.13
,AVCT,Financial,Shell Companies,20.40%,0.51,58.74,3.74,"|2|",3.75,"|3|","|4|",3.82,3.97,4.12,4.1,4.02,3.87,4,"|5|",4.25,4.15,4.12,4.1,4.09,4.07,4.05,4.02,4
,LLNW,Technology,Software - Infrastructure,83.20%,0.56,41.26,6.11,"|2|",5.55,5.37,5.3,5.25,5.24,5.22,5.2,5.19,5.16,5.15,5.13,5.12,"|3|","|4|",6.95,6.67,"|5|",6.99,6.98,6.97
,LQDA,Healthcare,Biotechnology,35.10%,0.74,30.78,6.06,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NH,Healthcare,Health Information Services,19.60%,0.59,47.12,4.26,3.26,"|2|",4.8,"|3|","|4|",4.35,4.36,"|5|",4.68,4.58,4.56,4.55,4.54,4.53,4.41,4.4,4.38,4.37,4.36,4.35,4.34
,CYCN,Healthcare,Biotechnology,72.20%,0.56,33.09,3.64,4.46,"|2|",4.46,4.38,4.25,4.18,4.15,4.12,4.06,3.96,3.95,3.6,2.8,"|3|","|4|",3.96,3.89,3.84,"|5|",4.1,4.09
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLNK,Consumer Cyclical,Specialty Retail,6.10%,0.98,65.13,7.09,"|2|","|3|","|4|","|5|",7.33,7.26,7.15,7.12,6.17,6.15,6.14,,,,,,,,,,
