,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Tue Aug 11 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OSMT,Healthcare,Biotechnology,46.20%,0.52,48.65,5.60,5.37,5.03,"|2|",6.5,"|3|",6.5,"|4|",5.42,5.44,5.68,5.75,5.66,5.62,5.61,"|5|",5.75,5.74,5.73,5.72,5.71,5.69
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAPR,Healthcare,Biotechnology,3.50%,1.18,50.49,6.72,"|2|","|3|","|4|",6.06,"|5|",6.53,6.48,6.11,6.1,6.09,6.08,6.06,,,,,,,,,
,MGNI,Communication Services,Advertising Agencies,48.40%,0.53,67.20,7.74,"|2|","|3|","|4|",6.96,"|5|",7.76,7.08,7.03,7,6.98,6.97,6.96,6.95,6.9,6.85,,,,,,
,AVCT,Financial,Shell Companies,20.80%,1.02,66.71,7.03,"|2|","|3|","|4|","|5|",7.75,6.85,,,,,,,,,,,,,,,
,EVRI,Consumer Cyclical,Gambling,91.40%,0.52,70.40,7.52,"|2|","|3|","|4|",6.99,"|5|",7.67,7.66,7.65,7.26,7.24,7.23,7.22,7.21,7.2,7.19,6.97,6.91,6.9,6.89,6.88,6.87
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QLGN,Healthcare,Biotechnology,0.20%,0.59,51.42,5.41,4.9,"|2|","|3|","|4|",5.6,"|5|",5.73,5.71,5.68,5.67,5.65,5.64,5.63,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.59,60.74,6.49,6.2,"|2|","|3|","|4|",6.5,6.74,6.83,6.8,6.88,6.99,"|5|",6.99,6.9,6.88,6.86,6.84,6.83,6.81,6.8,6.74,6.65
