,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Tue Jul 14 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.20%,0.88,59.73,6.31,5.41,"|2|","|3|","|4|",5.85,6,"|5|",7.15,7.14,7.11,6,5.9,5.85,5.8,,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.76,43.71,4.74,"|2|",4.97,4.19,3.84,"|3|",4.97,"|4|","|5|",4.64,4.41,4.21,4.2,4.19,4.18,4.17,4.16,4.15,4.14,4.13,4.12,4.11
,AMAG,Healthcare,Biotechnology,-,0.54,52.45,7.70,7.21,8.4,"|2|","|3|","|4|",7.14,"|5|",7.57,7.56,7.55,7.54,7.53,7.52,7.51,7.5,7.49,7.48,7.33,7.18,7.17,7.16
,ALTG,Industrials,Rental & Leasing Services,54.40%,0.51,48.88,7.18,"|2|","|3|","|4|",6.98,6.99,7.02,7.05,6.65,6.92,"|5|",7.22,7.17,7.15,7.14,7.06,7.05,7.02,7,6.99,6.98,6.96
,CLNC,Real Estate,REIT - Diversified,65.70%,0.60,53.86,6.52,5.99,"|2|","|3|","|4|",6.05,5.95,6.48,"|5|",6.48,6.42,6.22,6.2,6.19,6.18,6.12,6.1,6.08,6.07,6.06,6.05,6.04
,MRAM,Technology,Semiconductors,55.40%,0.53,58.05,7.23,7.48,7.99,6.25,"|2|",7.5,"|3|","|4|",7.37,7.4,7.38,7.01,7,7.1,"|5|",7.4,7.38,7.37,7.35,7.33,7.15,7.12
,TDW,Energy,Oil & Gas Equipment & Services,90.30%,0.50,49.73,5.37,"|2|",5.42,"|3|","|4|",5.04,5.07,"|5|",5.37,5.36,5.32,5.3,5.29,5.27,5.25,5.24,5.12,5.07,5.06,5.05,5.04,5.03
,CMLS,Communication Services,Broadcasting,92.10%,0.65,46.89,4.12,"|2|",4,3.96,"|3|",3.96,"|4|",4.03,3.97,3.91,4,3.93,"|5|",4.1,4.07,4.04,4.03,4.02,4.01,4,3.99,3.98
,OVID,Healthcare,Biotechnology,29.20%,0.69,58.46,7.39,7.53,"|2|","|3|","|4|","|5|",7.43,7.36,7.29,7.26,7.24,7.22,7.21,,,,,,,,,
,OMP,Energy,Oil & Gas Midstream,18.80%,0.79,48.47,7.70,"|2|","|3|","|4|",7.65,7.51,7.47,7.69,"|5|",7.69,7.68,7.65,7.62,7.61,7.6,7.59,7.57,7.56,7.55,7.54,7.53,7.51
,GRWG,Consumer Cyclical,Home Improvement Retail,31.70%,0.56,58.50,7.20,"|2|",7.07,"|3|","|4|",6.7,"|5|",7.12,7.1,6.95,6.86,6.81,6.77,6.75,6.73,6.71,6.7,6.68,6.66,6.65,6.64,
,RVP,Healthcare,Medical Instruments & Supplies,13.60%,0.76,59.68,7.52,"|2|","|3|","|4|",7.5,7.46,7.58,7.35,"|5|",7.65,7.62,7.59,7.58,7.54,7.52,7.51,7.5,7.49,7.48,7.47,7.46,7.45
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVCT,Financial,Shell Companies,20.40%,0.55,43.64,2.83,"|2|",2.2,2,"|3|","|4|",3.09,3.04,3.05,3.1,3.03,2.79,2.84,"|5|",3.1,3.09,3.08,3.07,3.06,3.05,3.04,3.03
,HT,Real Estate,REIT - Hotel & Motel,84.60%,0.67,43.80,5.16,5.35,"|2|",5.5,5,"|3|","|4|",5.17,5.15,"|5|",5.64,5.61,5.54,5.53,5.51,5.5,5.49,5.47,5.46,5.45,5.43,5.41
,CFRX,Healthcare,Biotechnology,35.00%,0.63,43.43,5.90,"|2|",6.5,6,"|3|",6.75,"|4|",6.76,6.87,6.8,5.79,"|5|",6.9,6.87,6.86,6.81,6.8,6.76,5.8,5.79,5.77,
,OSMT,Healthcare,Biotechnology,50.10%,0.78,48.34,6.16,5.37,7.02,"|2|",7,6.5,5.58,"|3|",6.5,"|4|",6.15,"|5|",6.16,6.15,6.11,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UBX,Healthcare,Biotechnology,71.10%,0.58,44.05,7.70,"|2|",7,6.78,"|3|",7,"|4|",7.74,"|5|",7.77,7.76,7.75,7.74,7.73,7.72,7.71,7.7,7.69,7.68,7.67,7.66,7.65
,SOLY,Healthcare,Medical Devices,9.50%,0.92,35.88,7.64,"|2|","|3|","|4|",7.9,7.83,7.91,7.82,7.48,7.71,7.74,"|5|",7.91,7.9,7.85,7.83,7.82,7.8,7.78,7.75,7.74,7.71
,TALO,Energy,Oil & Gas E&P,-,0.90,35.18,7.85,8.41,"|2|","|3|","|4|",7.8,7.71,"|5|",7.93,7.9,7.88,7.87,7.86,7.83,7.82,7.8,7.76,7.75,7.68,7.62,7.61,7.58
,CSPR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",38.10%,0.66,42.73,7.70,7.69,"|2|","|3|","|4|",8.46,8.19,7.54,7.57,7.59,7.64,"|5|",8.44,8.19,7.85,7.82,7.59,,,,,
,EOLS,Healthcare,Drug Manufacturers - Specialty & Generic,43.50%,0.55,32.30,3.15,3.12,"|2|",4.14,4.13,4.1,3.99,3.74,"|3|","|4|",3.18,3.2,3.21,3.13,3.17,"|5|",3.21,3.2,3.19,3.18,3.17,3.16
,CYCN,Healthcare,Biotechnology,72.30%,0.64,43.19,4.72,4.46,4.76,"|2|",4.65,4.38,4.25,4.18,4.15,4.12,4.06,"|3|","|4|",5.34,5.37,4.99,4.68,"|5|",5.45,5.39,5.38,5.37
,NBSE,Healthcare,Biotechnology,20.10%,0.74,39.93,7.94,7.99,8,"|2|",8.27,8.25,8,7.99,7.94,7.8,"|3|",6.95,"|4|",8.12,8.19,8.28,"|5|",8.31,8.29,8.23,8.19,8.18
,AFIN,Real Estate,REIT - Diversified,47.10%,0.51,44.33,7.28,6.79,"|2|","|3|","|4|",7.08,7.25,"|5|",7.39,7.38,7.37,7.35,7.34,7.33,7.3,7.29,7.26,7.25,7.21,7.2,7.19,7.17
,TILE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",95.90%,0.58,43.71,7.20,7.07,"|2|","|3|","|4|",7.11,7.3,"|5|",7.24,7.2,7.18,7.17,7.15,7.14,7.13,7.12,7.11,7.1,7.07,7.06,7.05,7.03
,JNCE,Healthcare,Biotechnology,76.70%,0.54,35.86,5.12,5.3,5.99,"|2|",6,5.9,5.8,5.25,5.1,4.35,"|3|",5.8,"|4|",5.3,"|5|",5.3,5.11,5.1,5.09,5.08,5.07,5.06
,PFSW,Industrials,Specialty Business Services,50.30%,0.60,40.82,5.80,"|2|",6,4.96,"|3|",4.96,6.2,"|4|",6.14,6.15,6.25,6.1,"|5|",6.25,6.24,6.23,6.22,6.15,6.14,6.13,6.11,6.1
,XAIR,Healthcare,Medical Devices,10.80%,0.58,36.55,6.25,"|2|",7.2,7,6.95,6,"|3|","|4|",6.84,6.73,6.77,6.55,6.54,"|5|",6.77,6.76,6.73,6.72,6.7,6.59,6.55,6.54
,NH,Healthcare,Health Information Services,19.60%,0.63,57.01,4.80,"|2|","|3|","|4|",5.19,5.18,5.02,"|5|",5.24,5.23,5.19,5.18,5.16,5.03,5.02,4.99,4.97,4.95,4.8,4.77,4.76,4.75
,IDN,Technology,Software - Application,43.00%,0.56,46.38,7.20,"|2|",7.2,"|3|",7.85,"|4|",8.19,8.02,8.1,7.95,7.3,7.29,7.22,"|5|",8.19,8.01,8,7.94,7.33,7.3,7.29,7.22
,RTLR,Energy,Oil & Gas Midstream,98.20%,0.72,33.29,7.64,"|2|","|3|","|4|",7.76,7.75,"|5|",8.48,7.91,7.9,7.89,7.88,7.87,7.86,7.85,7.82,7.81,7.8,7.78,7.76,7.75,
,MGTA,Healthcare,Biotechnology,59.60%,0.79,37.29,7.49,"|2|","|3|","|4|",7.62,7.6,7.55,"|5|",8.49,8.13,7.62,7.6,7.55,7.53,,,,,,,,
