,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Wed Aug 05 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TALO,Energy,Oil & Gas E&P,-,0.55,38.87,7.69,8.41,7.37,"|2|","|3|","|4|","|5|",7.65,7.63,7.6,7.59,7.58,7.57,7.56,7.55,7.5,7.16,7.15,7.14,7.12,7.11,7.1
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZVO,Consumer Defensive,Education & Training Services,66.90%,0.50,82.70,6.79,"|2|","|3|","|4|",6.25,"|5|",6.24,6.21,6.2,6.19,6.18,6.17,6.15,6.13,,,,,,,,
,ALDX,Healthcare,Biotechnology,62.80%,0.59,66.82,7.46,"|2|","|3|","|4|",6.5,6.46,"|5|",7.5,7.45,6.81,6.8,6.78,6.77,6.55,6.53,6.52,6.51,6.5,6.49,6.48,6.47,
,BGFV,Consumer Cyclical,Specialty Retail,41.30%,0.62,71.65,5.94,6.93,"|2|","|3|","|4|","|5|",5.98,5.96,5.95,5.94,5.65,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.53,,
,QLGN,Healthcare,Biotechnology,0.20%,0.74,57.14,5.88,5.255,4.9,"|2|",6,5,"|3|","|4|",5.5,5.48,5.6,5.95,"|5|",5.95,5.94,5.93,5.9,5.89,5.65,5.63,5.62,5.6
,TGI,Industrials,Aerospace & Defense,94.60%,0.60,39.00,7.22,7.58,"|2|","|3|","|4|",6.75,"|5|",6.9,6.87,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.75,6.74,6.73,6.72
,SURF,Healthcare,Biotechnology,91.90%,0.60,58.13,5.98,6.88,"|2|","|3|","|4|",5.39,5.24,5.67,6.05,"|5|",5.74,5.67,5.66,5.59,5.39,5.34,5.22,,,,,
,RUTH,Consumer Cyclical,Restaurants,63.70%,0.58,47.90,7.77,7.9,"|2|","|3|","|4|","|5|",7.8,7.76,7.75,7.7,7.6,,,,,,,,,,,
,LQDA,Healthcare,Biotechnology,35.60%,0.60,41.01,5.99,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRPO,Healthcare,Diagnostics & Research,1.90%,0.98,59.19,3.75,"|2|","|3|","|4|","|5|",4.04,3.85,3.8,3.79,3.78,3.76,3.75,3.73,3.72,3.2,3.19,3.18,3.17,3.16,,,
,CRDF,Healthcare,Biotechnology,21.50%,0.51,67.93,5.86,5.75,"|2|","|3|","|4|",6.17,6,"|5|",6.2,6.19,6.18,6.17,6.16,5.97,5.95,5.6,5.4,,,,,
,PDSB,Healthcare,Biotechnology,10.80%,0.57,65.13,4.35,4.56,"|2|","|3|","|4|",3.7,3.84,4.8,4.68,"|5|",4.8,4.75,4.74,4.71,4.7,4.68,4.65,4.64,4.6,4.4,3.84,3.8
,FUV,Consumer Cyclical,Recreational Vehicles,1.10%,0.83,58.35,6.58,"|2|","|3|","|4|",5.8,5.78,6.55,6.58,6.6,"|5|",6.6,6.58,6.56,6.55,6.54,5.93,5.92,5.9,5.89,5.88,5.87,5.86
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MNOV,Healthcare,Biotechnology,22.00%,0.90,51.32,6.39,"|2|",6,5.78,5.7,5.65,5.62,5.6,5.55,5.53,5.5,5.48,5.47,5.46,5.45,5.42,5.41,"|3|","|4|",6.4,"|5|",6.47
,EKSO,Healthcare,Medical Instruments & Supplies,24.00%,0.92,45.31,6.39,"|2|","|3|","|4|",6.6,6.4,6.5,6.57,6.47,"|5|",6.62,6.61,6.6,6.58,6.57,6.56,6.55,6.54,6.52,6.51,6.5,6.49
,ARAV,Healthcare,Biotechnology,44.50%,0.82,21.00,5.90,"|2|","|3|","|4|",6.05,5.9,5.94,"|5|",6.14,6.12,6.05,6.04,6.03,6.02,6,5.99,5.98,5.97,5.96,5.95,5.94,5.93
