,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Wed Jul 08 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RVP,Healthcare,Medical Instruments & Supplies,13.20%,0.59,62.14,7.66,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,KZR,Healthcare,Biotechnology,43.40%,0.57,51.09,5.51,6.44,5.87,4.72,5.98,"|2|",5.6,5.5,5.28,5.25,5.2,5.16,"|3|",5.25,"|4|",5.13,5.15,5.41,5.46,"|5|",5.43,5.42
,CRMD,Healthcare,Biotechnology,25.60%,0.51,57.54,6.25,6.78,"|2|",6.5,6.05,"|3|",6.5,"|4|",6.08,"|5|",6.2,6.13,6.1,6.08,6.01,5.97,5.96,5.94,5.93,,,
,FREE,Financial,Shell Companies,76.81%,0.61,31.10,7.57,"|2|","|3|","|4|",7.64,7.66,7.18,7.26,7.25,"|5|",7.66,7.64,7.29,7.28,7.27,7.26,7.25,7.18,7.04,,,
,AGTC,Healthcare,Biotechnology,70.70%,0.55,54.16,5.95,4.96,"|2|","|3|","|4|",5.78,5.7,5.97,5.99,"|5|",5.99,5.98,5.97,5.96,5.94,5.93,5.92,5.91,5.9,5.89,5.88,5.87
,FPRX,Healthcare,Biotechnology,69.70%,0.66,61.25,6.56,6.25,"|2|","|3|","|4|",6.26,"|5|",6.3,6.28,6.26,6.25,6.24,6.23,6.18,6.16,6.15,6.14,6.13,6.11,6.1,6.09,6.07
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LQDA,Healthcare,Biotechnology,45.80%,1.05,40.52,7.46,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,67.20%,0.82,35.46,4.25,"|2|",4.97,3.84,"|3|",4.97,"|4|",4.54,4.45,4.41,"|5|",4.57,4.56,4.55,4.54,4.41,,,,,,
,EOLS,Healthcare,Drug Manufacturers - Specialty & Generic,43.50%,0.64,29.68,3.36,3.12,"|2|",4.14,4.13,4.1,3.99,3.74,"|3|","|4|",3.79,3.63,3.46,3.48,"|5|",3.71,3.66,3.64,3.63,3.62,3.48,3.47
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CMLS,Communication Services,Broadcasting,-,0.70,40.53,3.85,"|2|",4,3.96,"|3|",3.96,"|4|",4.04,4.05,3.72,3.87,3.86,3.81,3.83,"|5|",4.05,4.04,4.03,3.87,3.86,3.85,3.84
,PFSW,Industrials,Specialty Business Services,49.60%,0.56,44.06,6.20,"|2|",6,"|3|",6.2,"|4|",6.47,6.39,6.4,6.41,6.32,6.12,6.14,6.16,"|5|",6.64,6.52,6.41,6.32,6.18,6.16,6.14
,AVCT,Financial,Shell Companies,12.30%,0.61,49.30,3.14,3.88,"|2|",2.2,"|3|","|4|",3.33,3.43,3.3,3.38,3.15,3.13,3.18,3.19,3.14,3.17,"|5|",3.43,3.38,3.34,3.3,3.26
